pt_code,term_ja,reading_kana,reading_alt
10017533,真菌感染,シンキンカンセン,
10017540,真菌性爪囲炎,シンキンセイソウイエン,
10017543,皮膚真菌感染,ヒフシンキンカンセン,
10017553,せつ,セツ,
10017577,歩行障害,ホコウショウガイ,
10017581,歩行不能,ホコウフノウ,
10017585,痙性歩行,ケイセイホコウ,
10017590,乳瘤,ニュウリュウ,
10017600,乳汁漏出症,ニュウジュウロウシュツショウ,
10017604,ガラクトース血症,ガラクトースケツショウ,ガラクトースケッショウ
10017605,ガラクトース不耐症,ガラクトースフタイショウ,
10017606,尿中ガラクトース,ニョウチュウガラクトース,
10017607,尿中ガラクトース異常,ニョウチュウガラクトースイジョウ,
10017608,尿中ガラクトース減少,ニョウチュウガラクトースゲンショウ,
10017609,尿中ガラクトース増加,ニョウチュウガラクトースゾウカ,
10017614,胆嚢癌,タンノウガン,
10017619,再発胆嚢癌,サイハツタンノウガン,
10017624,胆嚢コレステリン沈着症,タンノウコレステリンチンチャクショウ,
10017626,胆嚢障害,タンノウショウガイ,
10017631,胆嚢瘻,タンノウロウ,
10017636,胆嚢閉塞,タンノウヘイソク,
10017637,胆嚢浮腫,タンノウフシュ,
10017642,胆嚢損傷,タンノウソンショウ,
10017649,胆石性イレウス,タンセキセイイレウス,
10017655,ギャンブル,ギャンブル,
10017658,配偶子卵管内移植,ハイグウシランカンナイイショク,
10017672,インターフェロンγ療法,インターフェロンガンマリョウホウ,
10017674,膀胱γ線療法,ボウコウガンマセンリョウホウ,
10017675,骨γ線療法,コツガンマセンリョウホウ,
10017676,脳γ線療法,ノウガンマセンリョウホウ,
10017677,乳房γ線療法,ニュウボウガンマセンリョウホウ,
10017678,結腸γ線療法,ケッチョウガンマセンリョウホウ,
10017679,耳鼻咽喉頭γ線照射療法,ジビインコウトウガンマセンショウシャリョウホウ,
10017680,肺γ線療法,ハイガンマセンリョウホウ,
10017681,膵臓γ線療法,スイゾウガンマセンリョウホウ,
10017682,胸膜γ線療法,キョウマクガンマセンリョウホウ,
10017683,前立腺γ線照射療法,ゼンリツセンガンマセンショウシャリョウホウ,
10017684,皮膚γ線療法,ヒフガンマセンリョウホウ,
10017685,甲状腺γ線療法,コウジョウセンガンマセンリョウホウ,
10017686,子宮γ線照射療法,シキュウガンマセンショウシャリョウホウ,
10017687,γ－グルタミルトランスフェラーゼ,ガンマグルタミルトランスフェラーゼ,
10017688,γ－グルタミルトランスフェラーゼ異常,ガンマグルタミルトランスフェラーゼイジョウ,
10017690,γ－グルタミルトランスフェラーゼ減少,ガンマグルタミルトランスフェラーゼゲンショウ,
10017693,γ－グルタミルトランスフェラーゼ増加,ガンマグルタミルトランスフェラーゼゾウカ,
10017694,γ－グルタミルトランスフェラーゼ正常,ガンマグルタミルトランスフェラーゼセイジョウ,
10017701,神経節膠腫,シンケイセツコウシュ,
10017708,神経節細胞芽腫,シンケイセツサイボウガシュ,
10017709,神経節腫,シンケイセツシュ,
10017711,壊疽,エソ,
10017717,新生児壊疽,シンセイジエソ,
10017728,ガードネレラ感染,ガードネレラカンセン,
10017737,ガス壊疽,ガスエソ,
10017740,ガス中毒,ガスチュウドク,
10017753,胃アトニー,イアトニー,
10017758,胃癌,イガン,
10017761,再発胃癌,サイハツイガン,
10017762,胃癌第０期,イガンダイ0キ,
10017763,胃癌第１期,イガンダイ1キ,
10017764,胃癌第２期,イガンダイ2キ,
10017765,胃癌第３期,イガンダイ3キ,
10017779,胃拡張,イカクチョウ,
10017782,胃排出検査,イハイシュツケンサ,
10017788,胃出血,イシュッケツ,
10017792,胃洗浄,イセンジョウ,
10017793,胃洗浄検査異常,イセンジョウケンサイジョウ,
10017794,胃洗浄検査正常,イセンジョウケンサセイジョウ,
10017807,胃粘膜肥厚,イネンマクヒコウ,
10017815,胃穿孔,イセンコウ,
10017816,胃ポリープ切除,イポリープセツジョ,
10017817,胃ポリープ,イポリープ,
10017822,胃潰瘍,イカイヨウ,
10017826,出血性胃潰瘍,シュッケツセイイカイヨウ,
10017829,閉塞性出血性胃潰瘍,ヘイソクセイシュッケツセイイカイヨウ,
10017835,穿孔性胃潰瘍,センコウセイイカイヨウ,
10017836,閉塞性穿孔性胃潰瘍,ヘイソクセイセンコウセイイカイヨウ,
10017840,閉塞性胃潰瘍,ヘイソクセイイカイヨウ,
10017852,ガストリノーマ,ガストリノーマ,
10017853,胃炎,イエン,
10017856,アルコール性胃炎,アルコールセイイエン,
10017857,出血性アルコール胃炎,シュッケツセイアルコールイエン,
10017865,びらん性胃炎,ビランセイイエン,
10017866,出血性胃炎,シュッケツセイイエン,
10017868,肥厚性胃炎,ヒコウセイイエン,
10017873,胃腸吻合,イチョウフンゴウ,
10017877,胃腸管瘻,イチョウカンロウ,
10017885,胃食道逆流性疾患,イショクドウギャクリュウセイシッカン,
10017886,胃十二指腸潰瘍,イジュウニシチョウカイヨウ,
10017888,胃腸炎,イチョウエン,
10017889,アデノウイルス性胃腸炎,アデノウイルスセイイチョウエン,
10017890,好気菌性胃腸炎,コウキキンセイイチョウエン,
10017891,アエロモナス性胃腸炎,アエロモナスセイイチョウエン,
10017893,アストルウイルス性胃腸炎,アストルウイルスセイイチョウエン,
10017894,バチルス性胃腸炎,バチルスセイイチョウエン,
10017898,クロストリジウム菌性胃腸炎,クロストリジウムキンセイイチョウエン,
10017899,クリプトスポリジウム性胃腸炎,クリプトスポリジウムセイイチョウエン,
